Anno Accertamento;Mese Accertamento;Giorno Accertamento;Tipologia Verbale;Tipo Sanzione;Via 1;Numero Civico;Via 2;Descrizione Sanzione;Descrizione Paragrafo;Descrizione Capitolo;Descrizione Prontuario;Numero Verbali
2017;01;02;POLIZIA MUNICIPALE;Amministrativa;Piazza Rivoli;7;(Altri);ARTT. 83?80?87 DIVIETO DI CIRC. VEICOLI A MOTORE REGOLAMENTO VERDE PUBBLICO E PRIVATO;DIVIETO DI CIRC. VEICOLI A MOTORE;NORME DI CARATTERE SPECIALE;REGOLAMENTO VERDE PUBBLICO E PRIVATO;2
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Corso Francia;177;(Altri);ART. 12 C. 1 L. 1/1990 ESERCITA ATTIV. DI ESTET SENZA REQUISITI REG. 324/07 DISCP. ACCONC.ED ESTETICA;ESERCITA ATTIV. DI ESTET SENZA REQUISITI;DISCIPLINA DELLE ATTIV. ACCON E ESTET.;REG. 324/07 DISCP. ACCONC.ED ESTETICA;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Corso Regina Margherita;0;Corso Casale;ART. 669 MESTIERI GIROVAGHI E ACCATTONAGGIO CODICE PENALE;MESTIERI GIROVAGHI E ACCATTONAGGIO;ORDINE PUBBLICO;CODICE PENALE;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Piazza Sabotino;8;(Altri);ART. 57 RISERVE DI PARCHEGGIO REGOLAMENTO C.O.S.A.P.;RISERVE DI PARCHEGGIO;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;7
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Piazza Statuto;15;(Altri);ART. 28 C. 3 NORME DI SERVIZIO REGOLAMENTO TAXI;NORME DI SERVIZIO;REG.SERV.PUBBLICO PIAZZA CON AUTOVETTURA;REGOLAMENTO TAXI;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Piazza Statuto;15;(Altri);ART. 38 C. 1 LETT. I SOSTE REGOLAMENTO TAXI;SOSTE;REG.SERV.PUBBLICO PIAZZA CON AUTOVETTURA;REGOLAMENTO TAXI;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Piazzale Costantino Il Grande;168;(Altri);ARTT. 61 C. 1?68 IN REL ART. 11 ? L.R. 19/99 DISCIPLINA DEL CANTIERE REGOLAMENTO EDILIZIO;DISCIPLINA DEL CANTIERE;ESECUZIONE DELLE OPERE;REGOLAMENTO EDILIZIO;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Alfonso Lamarmora;20;(Altri);ART. 17 REQUISITI COMUNI IGIENE/TUTELA ALIMENTI?L. 283/62;REQUISITI COMUNI;MANIPOLAZ. E/O VENDITA SOST. ALIMENTARI;IGIENE/TUTELA ALIMENTI?L. 283/62;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Alfonso Lamarmora;20;(Altri);ART. 252 BIS C. 1 VENDITA ? ESPOSIZIONE ? LAVORAZIONE REGOLAMENTO D'IGIENE;VENDITA ? ESPOSIZIONE ? LAVORAZIONE;PRODOTTI ALIMENTARI;REGOLAMENTO D'IGIENE;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Alfonso Lamarmora;20;(Altri);ART. 252 C. 13 VENDITA ? ESPOSIZIONE ? LAVORAZIONE REGOLAMENTO D'IGIENE;VENDITA ? ESPOSIZIONE ? LAVORAZIONE;PRODOTTI ALIMENTARI;REGOLAMENTO D'IGIENE;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Caraglio;67;(Altri);ART. 30 C. 4 NETTEZZA DEL SUOLO REGOLAMENTO GESTIONE RIFIUTI URBANI;NETTEZZA DEL SUOLO;OBBLIGHI E DIVIETI;REGOLAMENTO GESTIONE RIFIUTI URBANI;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Cernaia;20;(Altri);ART. 38 C. 1 LETT. I SOSTE REGOLAMENTO TAXI;SOSTE;REG.SERV.PUBBLICO PIAZZA CON AUTOVETTURA;REGOLAMENTO TAXI;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Chiesa Della Salute;132;(Altri);ART. 21 C. 8 CARATTERISTICHE VEICOLI REGOLAMENTO TAXI;CARATTERISTICHE VEICOLI;REG.SERV.PUBBLICO PIAZZA CON AUTOVETTURA;REGOLAMENTO TAXI;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Exilles;82;(Altri);ART. 252 BIS C. 9 VENDITA ? ESPOSIZIONE ? LAVORAZIONE REGOLAMENTO D'IGIENE;VENDITA ? ESPOSIZIONE ? LAVORAZIONE;PRODOTTI ALIMENTARI;REGOLAMENTO D'IGIENE;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Exilles;82;(Altri);ARTT. 2?46 OCCUPAZIONI DEL SOPRASSUOLO REGOLAMENTO C.O.S.A.P.;OCCUPAZIONI DEL SOPRASSUOLO;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Gottardo;277;(Altri);ARTT. 10 C. 4?47 CONTENITORI PER LA RACCOLTA REGOLAMENTO GESTIONE RIFIUTI URBANI;CONTENITORI PER LA RACCOLTA;OBBLIGHI E DIVIETI;REGOLAMENTO GESTIONE RIFIUTI URBANI;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Gottardo;277;(Altri);ARTT. 13 C. 5?47 NORME RACCOLTE DIFFERENZIATE REGOLAMENTO GESTIONE RIFIUTI URBANI;NORME RACCOLTE DIFFERENZIATE;OBBLIGHI E DIVIETI;REGOLAMENTO GESTIONE RIFIUTI URBANI;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Gottardo;277;(Altri);ARTT. 9 C. 4?47 CONFERIMENTI REGOLAMENTO GESTIONE RIFIUTI URBANI;CONFERIMENTI;OBBLIGHI E DIVIETI;REGOLAMENTO GESTIONE RIFIUTI URBANI;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Lanusei;23;(Altri);ART. 40 C. 1 PUNTO 1 SPECIE COLUMBA LIVIA DOMESTICA REGOLAMENTO TUTELA E BENESSERE ANIMALI;SPECIE COLUMBA LIVIA DOMESTICA;ALTRE SPECIE ANIMALI;REGOLAMENTO TUTELA E BENESSERE ANIMALI;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Venaria;106;(Altri);ARTT. 10 C. 4?47 CONTENITORI PER LA RACCOLTA REGOLAMENTO GESTIONE RIFIUTI URBANI;CONTENITORI PER LA RACCOLTA;OBBLIGHI E DIVIETI;REGOLAMENTO GESTIONE RIFIUTI URBANI;1
