Anno Accertamento;Mese Accertamento;Giorno Accertamento;Tipologia Verbale;Tipo Sanzione;Via 1;Numero Civico;Numero Verbali
2017;01;02;POLIZIA MUNICIPALE;Amministrativa;Piazza Rivoli;7;2
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Corso Francia;177;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Corso Regina Margherita;0;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Piazza Sabotino;8;7
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Piazza Statuto;15;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Piazza Statuto;15;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Piazzale Costantino Il Grande;168;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Alfonso Lamarmora;20;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Alfonso Lamarmora;20;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Alfonso Lamarmora;20;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Caraglio;67;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Cernaia;20;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Chiesa Della Salute;132;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Exilles;82;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Exilles;82;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Gottardo;277;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Gottardo;277;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Gottardo;277;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Lanusei;23;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Venaria;106;1
2017;01;03;POLIZIA MUNICIPALE;Amministrativa;Via Venaria;106;1
2017;01;03;POLIZIA MUNICIPALE;Tributaria;Via Ala Di Stura;61;1
2017;01;03;POLIZIA MUNICIPALE;Tributaria;Via Conte Verde;1;1
2017;01;04;POLIZIA MUNICIPALE;Amministrativa;Corso Bramante;78;1
2017;01;04;POLIZIA MUNICIPALE;Amministrativa;Corso Casale;44;1
2017;01;04;POLIZIA MUNICIPALE;Amministrativa;Piazza Gran Madre Di Dio;4;1
2017;01;04;POLIZIA MUNICIPALE;Amministrativa;Via Arnaldo Da Brescia;49;1
2017;01;05;POLIZIA MUNICIPALE;Amministrativa;Corso Siracusa;231;7
2017;01;05;POLIZIA MUNICIPALE;Amministrativa;Corso Vercelli;78;1
2017;01;05;POLIZIA MUNICIPALE;Amministrativa;Corso Vercelli;78;1
2017;01;05;POLIZIA MUNICIPALE;Amministrativa;Corso Xi Febbraio;0;1
2017;01;05;POLIZIA MUNICIPALE;Amministrativa;Piazza Cln;255;1
2017;01;05;POLIZIA MUNICIPALE;Amministrativa;Via Chiesa Della Salute;29;1
2017;01;05;POLIZIA MUNICIPALE;Amministrativa;Via Gradisca;164;1
2017;01;05;POLIZIA MUNICIPALE;Amministrativa;Via Maria Vittoria;7;1
2017;01;05;POLIZIA MUNICIPALE;Amministrativa;Via Oropa;130;1
2017;01;05;POLIZIA MUNICIPALE;Tributaria;Via Maria Vittoria;7;1
2017;01;06;POLIZIA MUNICIPALE;Amministrativa;Corso Francia;195;1
2017;01;06;POLIZIA MUNICIPALE;Amministrativa;Via P. Sacchi;65;1
2017;01;07;POLIZIA MUNICIPALE;Amministrativa;Corso A. Tassoni;0;1
2017;01;07;POLIZIA MUNICIPALE;Amministrativa;Corso Cosenza;26;1
2017;01;07;POLIZIA MUNICIPALE;Amministrativa;Corso S.Maurizio;50;1
2017;01;07;POLIZIA MUNICIPALE;Amministrativa;Piazza Chiesa Della Salute;17;1
2017;01;07;POLIZIA MUNICIPALE;Amministrativa;Piazza Della Repubblica;27;1
2017;01;07;POLIZIA MUNICIPALE;Amministrativa;Via Artisti;28;1
2017;01;07;POLIZIA MUNICIPALE;Amministrativa;Via Belfiore;5;1
2017;01;07;POLIZIA MUNICIPALE;Amministrativa;Via Belfiore;10;1
2017;01;07;POLIZIA MUNICIPALE;Amministrativa;Via Montebello;11;1
2017;01;07;POLIZIA MUNICIPALE;Amministrativa;Via Ventimiglia;228;1
2017;01;07;POLIZIA MUNICIPALE;Tributaria;Via Montebello;11;1
2017;01;08;POLIZIA MUNICIPALE;Amministrativa;Via C. Berthollet;13;1
2017;01;08;POLIZIA MUNICIPALE;Amministrativa;Via S. Anselmo;34;1
2017;01;09;POLIZIA MUNICIPALE;Amministrativa;Corso F. Ferrucci;94;2
2017;01;09;POLIZIA MUNICIPALE;Amministrativa;Piazza Sabotino;8;3
2017;01;09;POLIZIA MUNICIPALE;Amministrativa;Via C. Pinchia;11;1
2017;01;09;POLIZIA MUNICIPALE;Amministrativa;Via Duchessa Jolanda;0;1
2017;01;09;POLIZIA MUNICIPALE;Amministrativa;Via Porta Palatina;6;1
2017;01;09;POLIZIA MUNICIPALE;Amministrativa;Via Porta Palatina;6;1
2017;01;09;POLIZIA MUNICIPALE;Amministrativa;Via Sospello;159;1
2017;01;09;POLIZIA MUNICIPALE;Amministrativa;Via Sospello;159;1
2017;01;09;POLIZIA MUNICIPALE;Amministrativa;Via Sospello;159;1
2017;01;09;POLIZIA MUNICIPALE;Tributaria;Via Vandalino;9;1
2017;01;10;GUARDIA DI FINANZA;Amministrativa;Corso Sebastopoli;123;2
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Corso F. Ferrucci;0;2
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Corso F. Ferrucci;94;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Corso Francia;323;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Corso Giulio Cesare;147;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Galleria S. Federico;15;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Galleria S. Federico;15;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Lungo Dora Napoli;2;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Lungo Dora Napoli;2;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Lungo Dora Napoli;2;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Lungo Dora Napoli;2;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Lungo Dora Napoli;2;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Piazza Rivoli;12;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Via A. Carroccio;5;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Via A. Lovera Di Maria;1;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Via C. Pavese;0;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Via C. Pavese;0;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Via C. Pisacane;47;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Via Camillo Riccio;53;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Via Cavour;3;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Via Degli Ulivi;114;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Via Delle Rosine;10;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Via E. Bava;5;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Via Paolo Veronese;150;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Via Tunisi;19;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Via Vandalino;101;1
2017;01;10;POLIZIA MUNICIPALE;Amministrativa;Viale Dei Mughetti;23;1
2017;01;10;POLIZIA MUNICIPALE;Tributaria;Corso Traiano;107;1
2017;01;10;POLIZIA MUNICIPALE;Tributaria;Galleria S. Federico;15;1
2017;01;10;POLIZIA MUNICIPALE;Tributaria;Via Delle Rosine;10;1
2017;01;10;POLIZIA MUNICIPALE;Tributaria;Via Fratelli Carle;0;1
2017;01;11;POLIZIA MUNICIPALE;Amministrativa;Corso F. Ferrucci;94;3
2017;01;11;POLIZIA MUNICIPALE;Amministrativa;Corso F. Ferrucci;96;1
2017;01;11;POLIZIA MUNICIPALE;Amministrativa;Corso Regina Margherita;127;1
2017;01;11;POLIZIA MUNICIPALE;Amministrativa;Corso Siracusa;235;7
2017;01;11;POLIZIA MUNICIPALE;Amministrativa;Piazza Cesare Augusto;15;1
2017;01;11;POLIZIA MUNICIPALE;Amministrativa;Piazza Sabotino;8;1
2017;01;11;POLIZIA MUNICIPALE;Amministrativa;Via G. Giolitti;40;1
2017;01;11;POLIZIA MUNICIPALE;Amministrativa;Via Monfalcone;0;1
2017;01;11;POLIZIA MUNICIPALE;Amministrativa;Via Palmiro Togliatti;0;1
2017;01;11;POLIZIA MUNICIPALE;Amministrativa;Via Roma;360;1
2017;01;11;POLIZIA MUNICIPALE;Tributaria;Corso Vittorio Emanuele Ii;88;1
2017;01;11;POLIZIA MUNICIPALE;Tributaria;Piazza Cesare Augusto;15;1
2017;01;11;POLIZIA MUNICIPALE;Tributaria;Via Principi D'acaja;23;1
2017;01;12;POLIZIA MUNICIPALE;Amministrativa;Corso Emilia;9;1
2017;01;12;POLIZIA MUNICIPALE;Amministrativa;Corso Emilia;9;1
2017;01;12;POLIZIA MUNICIPALE;Amministrativa;Corso Emilia;9;1
2017;01;12;POLIZIA MUNICIPALE;Amministrativa;Corso Emilia;9;1
2017;01;12;POLIZIA MUNICIPALE;Amministrativa;Corso Mortara;46;1
2017;01;12;POLIZIA MUNICIPALE;Amministrativa;Corso Regina Margherita;75;1
2017;01;12;POLIZIA MUNICIPALE;Amministrativa;Corso Sebastopoli;151;1
2017;01;12;POLIZIA MUNICIPALE;Amministrativa;Corso Siracusa;235;1
2017;01;12;POLIZIA MUNICIPALE;Amministrativa;Via Catania;25;1
2017;01;12;POLIZIA MUNICIPALE;Amministrativa;Via Cesana;85;1
2017;01;12;POLIZIA MUNICIPALE;Amministrativa;Via Giordano Bruno;71;1
2017;01;12;POLIZIA MUNICIPALE;Amministrativa;Via Giordano Bruno;71;1
2017;01;12;POLIZIA MUNICIPALE;Amministrativa;Via Giordano Bruno;71;1
2017;01;12;POLIZIA MUNICIPALE;Amministrativa;Via Giordano Bruno;71;1
2017;01;12;POLIZIA MUNICIPALE;Amministrativa;Via Paolo Gaidano;55;1
2017;01;12;POLIZIA MUNICIPALE;Tributaria;Corso G. Marconi;24;1
2017;01;12;POLIZIA MUNICIPALE;Tributaria;Corso Umbria;37;1
2017;01;12;POLIZIA MUNICIPALE;Tributaria;Via G. Amendola;8;1
2017;01;12;POLIZIA MUNICIPALE;Tributaria;Via Giordano Bruno;71;1
2017;01;13;POLIZIA MUNICIPALE;Amministrativa;Corso Grosseto;453;1
2017;01;13;POLIZIA MUNICIPALE;Amministrativa;Corso Grosseto;453;1
2017;01;13;POLIZIA MUNICIPALE;Amministrativa;Corso Sebastopoli;0;1
2017;01;13;POLIZIA MUNICIPALE;Amministrativa;Corso Sebastopoli;0;1
2017;01;13;POLIZIA MUNICIPALE;Amministrativa;Corso Vittorio Emanuele Ii;55;1
2017;01;13;POLIZIA MUNICIPALE;Amministrativa;Corso Vittorio Emanuele Ii;55;1
2017;01;13;POLIZIA MUNICIPALE;Amministrativa;Via Belfiore;4;1
2017;01;13;POLIZIA MUNICIPALE;Amministrativa;Via Belfiore;4;1
2017;01;13;POLIZIA MUNICIPALE;Amministrativa;Via Bernardino Galliari;10;1
2017;01;13;POLIZIA MUNICIPALE;Amministrativa;Via Ciamarella;26;1
2017;01;13;POLIZIA MUNICIPALE;Amministrativa;Via Gradisca;164;1
2017;01;13;POLIZIA MUNICIPALE;Amministrativa;Via Paolo Veronese;12;1
2017;01;13;POLIZIA MUNICIPALE;Tributaria;Corso Giulio Cesare;125;1
2017;01;13;POLIZIA MUNICIPALE;Tributaria;Via Borgaro;75;1
2017;01;13;POLIZIA MUNICIPALE;Tributaria;Via Cardinal Massaia;72;1
2017;01;13;POLIZIA MUNICIPALE;Tributaria;Via S.Ottavio;13;1
2017;01;14;POLIZIA MUNICIPALE;Amministrativa;Corso Traiano;65;1
2017;01;14;POLIZIA MUNICIPALE;Amministrativa;Largo Cibrario;10;1
2017;01;14;POLIZIA MUNICIPALE;Amministrativa;Piazza Della Repubblica;0;1
2017;01;14;POLIZIA MUNICIPALE;Amministrativa;Piazza Vittorio Veneto;13;1
2017;01;14;POLIZIA MUNICIPALE;Amministrativa;Via Belfiore;5;1
2017;01;14;POLIZIA MUNICIPALE;Amministrativa;Via Belfiore;10;1
2017;01;14;POLIZIA MUNICIPALE;Amministrativa;Via Belfiore;17;1
2017;01;14;POLIZIA MUNICIPALE;Amministrativa;Via C. Berthollet;13;1
2017;01;14;POLIZIA MUNICIPALE;Amministrativa;Via S. Anselmo;34;1
2017;01;14;POLIZIA MUNICIPALE;Amministrativa;Via Saluzzo;17;1
2017;01;14;POLIZIA MUNICIPALE;Amministrativa;Viale Augusto Monti;0;1
2017;01;14;POLIZIA MUNICIPALE;Tributaria;Corso Trapani;67;1
2017;01;15;POLIZIA MUNICIPALE;Amministrativa;Via Stampatori;21;1
2017;01;16;POLIZIA MUNICIPALE;Amministrativa;Corso E. Tazzoli;235;1
2017;01;16;POLIZIA MUNICIPALE;Amministrativa;Corso Regina Margherita;164;2
2017;01;16;POLIZIA MUNICIPALE;Amministrativa;Corso Regina Margherita;225;1
2017;01;16;POLIZIA MUNICIPALE;Amministrativa;Corso Siracusa;231;8
2017;01;16;POLIZIA MUNICIPALE;Amministrativa;Corso Vercelli;206;1
2017;01;16;POLIZIA MUNICIPALE;Amministrativa;Corso Vittorio Emanuele Ii;181;1
2017;01;16;POLIZIA MUNICIPALE;Amministrativa;Piazzale Barcellona;0;1
2017;01;16;POLIZIA MUNICIPALE;Amministrativa;Via Arnaldo Da Brescia;39;1
2017;01;16;POLIZIA MUNICIPALE;Amministrativa;Via Bobbio;21;1
2017;01;16;POLIZIA MUNICIPALE;Amministrativa;Via Bologna;74;1
2017;01;16;POLIZIA MUNICIPALE;Amministrativa;Via Druento;355;1
2017;01;16;POLIZIA MUNICIPALE;Amministrativa;Via La Loggia;37;1
2017;01;16;POLIZIA MUNICIPALE;Amministrativa;Via Rubens Fattorelli;62;1
2017;01;16;POLIZIA MUNICIPALE;Amministrativa;Via S.Remo;67;1
2017;01;16;POLIZIA MUNICIPALE;Amministrativa;Via S.Tommaso;16;1
2017;01;16;POLIZIA MUNICIPALE;Tributaria;Corso Trapani;15;1
2017;01;16;POLIZIA MUNICIPALE;Tributaria;Via Po;5;4
2017;01;17;POLIZIA MUNICIPALE;Amministrativa;Corso Orbassano;124;2
2017;01;17;POLIZIA MUNICIPALE;Amministrativa;Corso Regina Margherita;39;1
2017;01;17;POLIZIA MUNICIPALE;Amministrativa;Corso Siracusa;231;3
2017;01;17;POLIZIA MUNICIPALE;Amministrativa;Corso Svizzera;185;1
2017;01;17;POLIZIA MUNICIPALE;Amministrativa;Piazza Galimberti;0;1
2017;01;17;POLIZIA MUNICIPALE;Amministrativa;Via A. Abegg;6;1
2017;01;17;POLIZIA MUNICIPALE;Amministrativa;Via B. Lanino;6;1
2017;01;17;POLIZIA MUNICIPALE;Amministrativa;Via C. Segurana;2;1
2017;01;17;POLIZIA MUNICIPALE;Amministrativa;Via Cernaia;0;1
2017;01;17;POLIZIA MUNICIPALE;Amministrativa;Via Cernaia;0;1
2017;01;17;POLIZIA MUNICIPALE;Amministrativa;Via Giustino Fortunato;4;1
2017;01;17;POLIZIA MUNICIPALE;Amministrativa;Via Giustino Fortunato;4;1
2017;01;17;POLIZIA MUNICIPALE;Amministrativa;Via Issiglio;8;1
2017;01;17;POLIZIA MUNICIPALE;Amministrativa;Via Issiglio;8;1
2017;01;17;POLIZIA MUNICIPALE;Amministrativa;Via S.Teresa;21;1
2017;01;17;POLIZIA MUNICIPALE;Tributaria;Piazza Adriano;7;1
2017;01;17;POLIZIA MUNICIPALE;Tributaria;Via G. Bertrandi;1;1
2017;01;17;POLIZIA MUNICIPALE;Tributaria;Via Po;28;1
2017;01;17;UFF. LAVORI PUBBLICI;Amministrativa;Via Fulvio Croce;0;1
2017;01;17;UFF. LAVORI PUBBLICI;Amministrativa;Via Fulvio Croce;0;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Corso F. Ferrucci;0;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Corso Giulio Cesare;6;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Corso Giulio Cesare;6;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Corso Giulio Cesare;21;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Corso Giulio Cesare;21;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Corso Giulio Cesare;21;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Corso Giulio Cesare;23;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Corso Giulio Cesare;23;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Corso Molise;30;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Corso Orbassano;368;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Strada Del Meisino;37;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Via Antonio Pigafetta;11;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Via Cesana;78;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Via Cibrario;72;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Via Cibrario;72;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Via Corte D'appello;20;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Via Cumiana;58;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Via Domodossola;41;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Via J. Durandi;13;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Via J. Durandi;13;1
2017;01;18;POLIZIA MUNICIPALE;Amministrativa;Via S.Teresa;10;1
2017;01;18;POLIZIA MUNICIPALE;Tributaria;Corso Regina Margherita;68;1
2017;01;18;POLIZIA MUNICIPALE;Tributaria;Via Principi D'acaja;25;1
2017;01;19;POLIZIA MUNICIPALE;Amministrativa;Corso Cirie';33;1
2017;01;19;POLIZIA MUNICIPALE;Amministrativa;Corso Cirie';39;1
2017;01;19;POLIZIA MUNICIPALE;Amministrativa;Corso Francia;91;1
2017;01;19;POLIZIA MUNICIPALE;Amministrativa;Corso Giulio Cesare;9;1
2017;01;19;POLIZIA MUNICIPALE;Amministrativa;Corso Giulio Cesare;9;1
