VIA;CIVICO;CAP
VIA PIETRO PALMIERI;59/A;10138
VIA PIETRO PALMIERI;61/A;10138
VIA PIETRO PALMIERI;63 scala B;10138
VIA BARNABA PANIZZA;1 scala B;10137
VIA BARNABA PANIZZA;2;10137
VIA BARNABA PANIZZA;6;10137
VIA BARNABA PANIZZA;9;10137
VIA BARNABA PANIZZA;10;10137
VIA PASQUALE PAOLI;1/B;10134
VIA PASQUALE PAOLI;1/G;10134
VIA PASQUALE PAOLI;5;10134
VIA PASQUALE PAOLI;9;10134
VIA PASQUALE PAOLI;10;10134
VIA PASQUALE PAOLI;12;10134
VIA PASQUALE PAOLI;14;10134
VIA PASQUALE PAOLI;17/A;10134
VIA PASQUALE PAOLI;18/C;10134
VIA PASQUALE PAOLI;20/A;10134
VIA PASQUALE PAOLI;22/D;10134
VIA PASQUALE PAOLI;24/D;10134
VIA PASQUALE PAOLI;26/A;10134
VIA PASQUALE PAOLI;26/F;10134
VIA PASQUALE PAOLI;30;10134
VIA PASQUALE PAOLI;32;10134
VIA LUIGI PALMA DI CESNOLA;38;10127
VIA LUIGI PALMA DI CESNOLA;42 scala A;10127
VIA LUIGI PALMA DI CESNOLA;42/H;10127
VIA LUIGI PALMA DI CESNOLA;46;10127
VIA LUIGI PALMA DI CESNOLA;63;10127
VIA LUIGI PALMA DI CESNOLA;110/A;10127
VIA PIANEZZA;97/D;10149
VIA PIANEZZA;101/A;10149
VIA PIANEZZA;102;10151
VIA PIANEZZA;108/A;10151
VIA PIANEZZA;110/D;10151
VIA PIANEZZA;115/A;10151
VIA PIANEZZA;120;10151
VIA PIANEZZA;132/A;10151
VIA PIANEZZA;157;10151
VIA PIANEZZA;163/A;10151
VIA PIANEZZA;171;10151
VIA PIANEZZA;176 scala C;10151
VIA PIANEZZA;178 scala A;10151
VIA PIANEZZA;178;10151
VIA PIANEZZA;180 scala A;10151
VIA PIANEZZA;180 scala C;10151
VIA PIANEZZA;185 scala B;10151
VIA PIANEZZA;212/F;10151
VIA PIANEZZA;214/B;10151
VIA PIANEZZA;218;10151
VIA PIANEZZA;46 bis/A;10149
VIA PIANEZZA;47/A;10149
CORSO PESCHIERA;138/A;10138
CORSO PESCHIERA;138/F;10138
CORSO PESCHIERA;138 bis/D;10138
CORSO PESCHIERA;140 int. 4;10138
CORSO PESCHIERA;140 int. 10;10138
CORSO PESCHIERA;142 int. 5;10138
CORSO PESCHIERA;142 bis/D;10138
CORSO PESCHIERA;145/A;10141
CORSO PESCHIERA;145/E;10141
CORSO PESCHIERA;145;10141
VIA PESARO;36;10152
VIA PESARO;38 bis/B;10152
VIA PESARO;40;10152
VIA PESARO;43/A;10152
VIA PESARO;43/B;10152
VIA PESARO;43;10152
VIA PESARO;45/A;10152
VIA PESARO;47;10152
VIA PESARO;50 scala A;10152
VIA PESARO;50 scala B;10152
VIA PESCARA;3;10154
VIA BELLOM PESCAROLO;8/A;10134
VIA BELLOM PESCAROLO;12;10134
VIA BELLOM PESCAROLO;15/A;10134
VIA BELLOM PESCAROLO;16/B;10134
VIA MATTEO PESCATORE;5/B;10124
VIA GIUSEPPE PEANO;3 scala B;10129
VIA FEDERICO PATETTA;28 scala A;10155
VIA FEDERICO PATETTA;28 scala B;10155
VIA FEDERICO PATETTA;34/A;10155
STRADA DEL PAVARINO;5;10132
STRADA DEL PAVARINO;8 int. 4;10132
STRADA DEL PAVARINO;8 int. 8;10132
STRADA DEL PAVARINO;8 int. 12;10132
STRADA DEL PAVARINO;21;10132
STRADA DEL PAVARINO;44;10132
VIA PAVAROLO;5 scala C;10156
VIA PAVAROLO;8/A;10156
VIA PAVAROLO;8/D;10156
VIA PAVAROLO;9 scala E;10156
VIA PAVAROLO;9 scala G;10156
VIA PAVAROLO;9/A;10156
VIA CESARE PAVESE;1/D;10135
VIA CESARE PAVESE;2/E;10135
VIA CESARE PAVESE;4/A;10135
VIA CESARE PAVESE;4;10135
VIA CESARE PAVESE;5/B;10135
VIA CESARE PAVESE;6/B;10135
VIA CESARE PAVESE;7;10135
VIA PIETRO PALMIERI;4;10143
VIA PIETRO PALMIERI;13;10143
VIA PIETRO PALMIERI;14;10143
VIA PIETRO PALMIERI;16/A;10143
VIA PIETRO PALMIERI;17/E;10143
VIA PIETRO PALMIERI;19;10143
VIA PIETRO PALMIERI;21;10143
VIA PIETRO PALMIERI;22/E;10138
VIA PIETRO PALMIERI;23;10143
VIA PIETRO PALMIERI;26;10138
VIA PIETRO PALMIERI;28/A;10138
VIA PIETRO PALMIERI;30;10138
VIA PIETRO PALMIERI;33;10138
VIA PIETRO PALMIERI;35;10138
VIA PIETRO PALMIERI;40 scala B;10138
VIA PIETRO PALMIERI;47;10138
VIA PIETRO PALMIERI;49 scala A;10138
VIA PIETRO PALMIERI;49 scala B;10138
VIA PIETRO PALMIERI;49/A;10138
VIA PIETRO PALMIERI;49;10138
VIA PIETRO PALMIERI;51 scala A;10138
VIA PIETRO PALMIERI;51 scala B;10138
VIA PIETRO PALMIERI;51/D;10138
VIA PIETRO PALMIERI;51;10138
VIA NATALE PALLI;23/A;10147
VIA NATALE PALLI;23/D;10147
VIA NATALE PALLI;27;10147
VIA NATALE PALLI;28/D;10147
VIA NATALE PALLI;31;10147
VIA NATALE PALLI;32;10147
VIA PIANEZZA;59/B;10149
VIA PIANEZZA;59/H;10149
VIA PIANEZZA;60/F;10149
VIA PIANEZZA;63/B;10149
VIA PIANEZZA;63/G;10149
VIA PIANEZZA;64/D;10149
VIA PIANEZZA;65/D;10149
VIA PIANEZZA;66/C;10149
VIA PIANEZZA;67/B;10149
VIA PIANEZZA;67/E;10149
VIA PIANEZZA;68/B;10149
VIA PIANEZZA;69/E;10149
VIA PIANEZZA;71/A;10149
VIA PIANEZZA;72;10149
VIA PIANEZZA;73;10149
VIA PIANEZZA;78/A;10149
VIA PIANEZZA;79/D;10149
VIA PIANEZZA;81/B;10149
VIA PIANEZZA;82;10149
VIA PIANEZZA;83;10149
VIA PIANEZZA;88;10149
VIA PIANEZZA;91 scala A;10149
STRADA PIANEZZA;311 int. 10 int. L;10151
STRADA PIANEZZA;311 int. 10 int. M;10151
STRADA PIANEZZA;311 int. 13;10151
STRADA PIANEZZA;380;10151
STRADA PIANEZZA;387/C;10151
VIA MATTEO PESCATORE;7/G;10124
VIA MATTEO PESCATORE;9/B;10124
VIA MATTEO PESCATORE;10/C;10124
VIA MATTEO PESCATORE;11 scala A;10124
VIA MATTEO PESCATORE;11/D;10124
VIA MATTEO PESCATORE;12 scala B;10124
VIA MATTEO PESCATORE;12;10124
VIA MATTEO PESCATORE;16/F;10124
VIA MATTEO PESCATORE;16;10124
VIA MATTEO PESCATORE;18/F;10124
VIA DELLE PERVINCHE;55 scala C;10151
VIA DELLE PERVINCHE;55 scala D;10151
VIA DELLE PERVINCHE;55 scala E;10151
VIA DELLE PERVINCHE;57;10151
VIA DELLE PERVINCHE;61 scala B;10151
VIA DELLE PERVINCHE;61 scala E;10151
VIA DELLE PERVINCHE;61 scala G;10151
VIA DELLE PERVINCHE;61 bis/A;10151
VIA DELLE PERVINCHE;61 bis/D;10151
VIA DELLE PERVINCHE;61 bis/G;10151
VIA DELLE PERVINCHE;61 bis/N;10151
VIA DELLE PERVINCHE;65 scala A;10151
VIA DELLE PERVINCHE;69 scala B;10151
VIA DELLE PERVINCHE;73 scala A;10151
VIA PESARO;4/A;10152
VIA PESARO;7;10152
VIA PESARO;14/A;10152
VIA PASTRENGO;3 bis/B;10128
VIA PASTRENGO;5/D;10128
VIA PASTRENGO;7/A;10128
VIA PASTRENGO;9/B;10128
VIA PASTRENGO;11/D;10128
VIA PASTRENGO;13 scala A;10128
VIA PASTRENGO;13;10128
VIA PASTRENGO;16 scala A;10128
VIA PASTRENGO;17 scala A;10128
VIA PASTRENGO;18/G;10128
VIA PASTRENGO;19 scala B;10128
VIA PASTRENGO;19/C;10128
VIA PASTRENGO;20 scala A;10128
VIA PASTRENGO;22;10128
VIA PASTRENGO;26/G;10128
VIA PASTRENGO;28 scala B;10128
VIA PASTRENGO;28;10128
VIA PASTRENGO;30/F;10128
VIA PASTRENGO;32/B;10128
VIA FEDERICO PATETTA;6;10155
VIA FEDERICO PATETTA;9;10155
VIA FEDERICO PATETTA;12;10155
VIA FEDERICO PATETTA;16;10155
VIA FEDERICO PATETTA;20/A;10155
VIA FEDERICO PATETTA;20;10155
VIA FEDERICO PATETTA;26/A;10155
VIA NATALE PALLI;34;10147
VIA NATALE PALLI;36/A;10147
VIA NATALE PALLI;37/A;10147
VIA NATALE PALLI;43/D;10147
VIA NATALE PALLI;44;10147
VIA NATALE PALLI;47;10147
VIA NATALE PALLI;52;10147
VIA NATALE PALLI;54/B;10147
VIA NATALE PALLI;55 scala B;10147
VIA NATALE PALLI;63;10147
VIA NATALE PALLI;65;10147
VIA LUIGI PALMA DI CESNOLA;9/A;10127
VIA LUIGI PALMA DI CESNOLA;16/B;10127
VIA LUIGI PALMA DI CESNOLA;20/A;10127
VIA LUIGI PALMA DI CESNOLA;23 scala B;10127
VIA LUIGI PALMA DI CESNOLA;25;10127
VIA LUIGI PALMA DI CESNOLA;29;10127
VIA LUIGI PALMA DI CESNOLA;30;10127
VIA LUIGI PALMA DI CESNOLA;38 scala A;10127
VIA PALLANZA;19/C;10153
VIA PALLANZA;20;10153
VIA PALLANZA;22;10153
VIA PALLANZA;23;10153
VIA PALLANZA;24 ter/A;10153
VIA PALLANZA;25/A;10153
STRADA PIANEZZA;389/A;10151
STRADA PIANEZZA;389/I;10151
STRADA PIANEZZA;422;10151
VIA PIANEZZA;2;10149
VIA PIANEZZA;6/A;10149
VIA PIANEZZA;6;10149
VIA PIANEZZA;8/D;10149
VIA PIANEZZA;10/D;10149
VIA PIANEZZA;14/B;10149
VIA PIANEZZA;22;10149
VIA PIANEZZA;27/A;10149
VIA PIANEZZA;30/A;10149
VIA PIANEZZA;36/A;10149
VIA PIANEZZA;38/A;10149
VIA PIANEZZA;42/C;10149
VIA PIANEZZA;44/B;10149
VIA PIANEZZA;46;10149
VIA PIACENZA;22;10127
VIA PIACENZA;24/B;10127
VIA PIACENZA;24;10127
VIA PIACENZA;26/A;10127
VIA PIACENZA;26/B;10127
VIA PIACENZA;27/B;10127
VIA PIACENZA;29;10127
VIA PESARO;17;10152
VIA PESARO;20/E;10152
VIA PESARO;24/A;10152
VIA PESARO;25/A;10152
VIA PESARO;27/A;10152
VIA PESARO;27/F;10152
VIA PESARO;29/A;10152
VIA PESARO;33/D;10152
VIA PESARO;34;10152
VIA PESARO;34 bis/A;10152
VIA DELLE PERVINCHE;23 scala D;10151
VIA DELLE PERVINCHE;23 scala E;10151
VIA DELLE PERVINCHE;23 scala F;10151
VIA DELLE PERVINCHE;23 scala G;10151
VIA DELLE PERVINCHE;23 scala H;10151
VIA DELLE PERVINCHE;23 scala I;10151
VIA DELLE PERVINCHE;23 scala N;10151
VIA DELLE PERVINCHE;24;10151
VIA DELLE PERVINCHE;27;10151
VIA DELLE PERVINCHE;31;10151
VIA DELLE PERVINCHE;35;10151
VIA DELLE PERVINCHE;37;10151
VIA DELLE PERVINCHE;40;10151
VIA DELLE PERVINCHE;43 scala B;10151
VIA DELLE PERVINCHE;43 scala E;10151
VIA DELLE PERVINCHE;43;10151
VIA DELLE PERVINCHE;44 scala A;10151
VIA DELLE PERVINCHE;44 scala D;10151
VIA DELLE PERVINCHE;46 scala C;10151
VIA DELLE PERVINCHE;47;10151
VIA PASSO BUOLE;166/H;10135
VIA PASSO BUOLE;166;10135
VIA PASSO BUOLE;167/C;10135
VIA PASSO BUOLE;167;10135
VIA PASSO BUOLE;168/B;10135
VIA PASSO BUOLE;168;10135
VIA PASSO BUOLE;170 int. 1;10135
VIA PASSO BUOLE;170 int. 10;10135
VIA PASSO BUOLE;173/B;10135
VIA PASSO BUOLE;173/G;10135
VIA PASSO BUOLE;174;10135
VIA PASSO BUOLE;176/A;10135
VIA PASSO BUOLE;177/B;10135
VIA PASSO DEL BRENNERO;1/N;10146
VIA PASSO DEL BRENNERO;5;10146
VIA PASSO DEL BRENNERO;8/A;10146
VIA PASSO DEL BRENNERO;9;10146
VIA MARIO E PIER LUIGI PASSONI;2;10146
VIA MARIO E PIER LUIGI PASSONI;7/D;10146
VIA MARIO E PIER LUIGI PASSONI;12/A;10146
VIA MARIO E PIER LUIGI PASSONI;14;10146
VIA MARIO E PIER LUIGI PASSONI;18;10146
VIA LUIGI PASTEUR;5;10146
VIA LUIGI PASTEUR;6 scala C;10146
VIA LUIGI PASTEUR;11;10146
VIA PASTRENGO;1 bis;10128
VIA PASTRENGO;3;10128
CORSO PALESTRO;6;10122
CORSO PALESTRO;8;10122
CORSO PALESTRO;11;10122
