VIA;CIVICO MIN;CIVICO MAX;CAP
CORSO ACHILLE MARIO DOGLIOTTI;14;44;10126
CORSO ADRIATICO;2;26;10129
CORSO ALBERTO PICCO;1;104;10131
CORSO A. DE GASPERI;0;73;10129
CORSO A. TASSONI;2;39;10143
CORSO A. TASSONI;40;40;10144
CORSO A. TASSONI;41;45;10143
CORSO A. TASSONI;46;46;10144
CORSO A. TASSONI;47;49;10143
CORSO A. TASSONI;50;50;10144
CORSO A. TASSONI;51;51;10143
CORSO A. TASSONI;52;52;10144
CORSO A. TASSONI;53;53;10143
CORSO A. TASSONI;54;54;10144
CORSO A. TASSONI;55;55;10143
CORSO A. TASSONI;56;56;10144
CORSO A. TASSONI;57;59;10143
CORSO A. TASSONI;62;66;10144
CORSO A. TASSONI;69;69;10143
CORSO A. TASSONI;72;72;10144
CORSO A. TASSONI;73;73;10143
CORSO A. TASSONI;74;76;10144
CORSO A. TASSONI;77;77;10143
CORSO A. TASSONI;78;78;10144
CORSO A. TASSONI;79;79;10143
CORSO A. TASSONI;80;80;10144
CORSO A. TASSONI;81;81;10143
CORSO A. TASSONI;84;84;10144
CORSO A. TASSONI;85;85;10143
CORSO A. TASSONI;86;90;10144
CORSO APPIO CLAUDIO;1;49;10143
CORSO APPIO CLAUDIO;78;80;10146
CORSO APPIO CLAUDIO;110;110;10143
CORSO APPIO CLAUDIO;110;231;10146
CORSO BELGIO;6;180;10153
CORSO BENEDETTO BRIN;1;29;10149
CORSO BENEDETTO CROCE;3;38;10135
CORSO BERNARDINO TELESIO;2;128;10146
CORSO BOLZANO;2;53;10121
CORSO BRAMANTE;1;40;10134
CORSO BRAMANTE;41;45;10126
CORSO BRAMANTE;46;46;10134
CORSO BRAMANTE;47;96;10126
CORSO BRESCIA;2;113;10152
CORSO BRIANZA;1;38;10153
CORSO CADORE;1;46;10153
CORSO CADUTI SUL LAVORO;5;11;10126
CORSO CADUTI SUL LAVORO;20;24;10127
CORSO CAIO PLINIO;2;87;10127
CORSO CAIROLI;1;32;10123
CORSO CANONICO G. ALLAMANO;1;95;10136
CORSO ROSSELLI;1;39;10128
CORSO ROSSELLI;41;43;10129
CORSO ROSSELLI;44;44;10128
CORSO ROSSELLI;45;45;10129
CORSO ROSSELLI;46;46;10128
CORSO ROSSELLI;47;47;10129
CORSO ROSSELLI;48;48;10128
CORSO ROSSELLI;49;49;10129
CORSO ROSSELLI;50;52;10128
CORSO ROSSELLI;54;123;10129
CORSO ROSSELLI;123;123;10128
CORSO ROSSELLI;124;129;10129
CORSO ROSSELLI;130;130;10141
CORSO ROSSELLI;131;131;10129
CORSO ROSSELLI;132;132;10141
CORSO ROSSELLI;133;133;10129
CORSO ROSSELLI;134;240;10141
CORSO CARLO L. FARINI;1;33;10153
CORSO C. PIAGGIA;11;11;10141
CORSO CASALE;2;66;10131
CORSO CASALE;71;194;10132
CORSO CASALE;194;194;10131
CORSO CASALE;194;479;10132
CORSO CASTELFIDARDO;1;13;10128
CORSO CASTELFIDARDO;16;16;10138
CORSO CASTELFIDARDO;17;17;10128
CORSO CASTELFIDARDO;18;18;10138
CORSO CASTELFIDARDO;21;21;10129
CORSO CASTELFIDARDO;22;22;10138
CORSO CASTELFIDARDO;29;29;10129
CORSO CASTELFIDARDO;30;30;10138
CORSO CASTELFIDARDO;33;39;10129
CORSO CASTELFIDARDO;42;42;10138
CORSO CASTELFIDARDO;44;59;10129
CORSO CESARE CORRENTI;35;77;10136
CORSO CHIERI;7;212;10132
CORSO CHIERI;214;214;10139
CORSO CHIERI;214;214;10132
CORSO CHIERI;214;214;10139
CORSO CHIERI;214;246;10132
CORSO CHIETI;1;38;10153
CORSO CIRIE';1;35;10152
CORSO CIRO MENOTTI;4;6;10138
CORSO CORSICA;1;30;10134
CORSO CORSICA;36;55;10135
CORSO COSENZA;3;3;10135
CORSO COSENZA;16;22;10134
CORSO COSENZA;23;23;10137
CORSO COSENZA;24;24;10134
CORSO COSENZA;25;25;10137
CORSO COSENZA;26;32;10134
CORSO COSENZA;33;144;10137
CORSO DANTE;2;28;10134
CORSO DANTE;31;133;10126
CORSO DUCA D'AOSTA;1;19;10129
CORSO DUCA DEGLI ABRUZZI;1;14;10128
CORSO DUCA DEGLI ABRUZZI;15;84;10129
CORSO DUCA DEGLI ABRUZZI;85;85;10149
CORSO DUCA DEGLI ABRUZZI;86;106;10129
CORSO EMILIA;1;40;10152
CORSO E. DE NICOLA;2;20;10128
CORSO E. DE NICOLA;22;66;10129
CORSO ENRICO GAMBA;18;45;10144
CORSO E. TAZZOLI;1;78;10135
CORSO E. TAZZOLI;88;88;10137
CORSO E. TAZZOLI;95;95;10135
CORSO E. TAZZOLI;158;235;10137
CORSO E. GIAMBONE;1;1;10134
CORSO E. GIAMBONE;2;2;10135
CORSO E. GIAMBONE;3;7;10134
CORSO E. GIAMBONE;8;8;10135
CORSO E. GIAMBONE;9;9;10134
CORSO E. GIAMBONE;10;10;10135
CORSO E. GIAMBONE;11;11;10134
CORSO E. GIAMBONE;12;14;10135
CORSO E. GIAMBONE;19;45;10134
CORSO E. GIAMBONE;46;46;10135
CORSO E. GIAMBONE;47;67;10134
CORSO E. GIAMBONE;68;68;10135
CORSO E. GIAMBONE;69;87;10134
CORSO FEDERICO SCLOPIS;4;12;10126
CORSO FERRARA;1;51;10151
CORSO F. BRUNELLESCHI;1;230;10141
CORSO FILIPPO TURATI;2;48;10128
CORSO FILIPPO TURATI;53;86;10134
CORSO FIUME;1;1;10131
CORSO FIUME;2;2;10133
CORSO FIUME;3;3;10131
CORSO FIUME;4;4;10133
CORSO FIUME;5;5;10131
CORSO FIUME;6;10;10133
CORSO FIUME;11;11;10131
CORSO FIUME;12;12;10133
CORSO FIUME;13;13;10131
CORSO FIUME;14;16;10133
CORSO FIUME;17;17;10131
CORSO F. FERRUCCI;2;112;10138
CORSO F. FERRUCCI;119;153;10141
CORSO FRANCIA;1;1;10138
CORSO FRANCIA;2;2;10143
CORSO FRANCIA;3;3;10138
CORSO FRANCIA;4;4;10143
CORSO FRANCIA;5;5;10138
CORSO FRANCIA;6;6;10143
CORSO FRANCIA;7;7;10138
