VIA;CIVICO MIN;CIVICO MAX;CAP
VIA PIETRO PALMIERI;59;63;10138
VIA BARNABA PANIZZA;1;10;10137
VIA PASQUALE PAOLI;1;32;10134
VIA LUIGI PALMA DI CESNOLA;38;110;10127
VIA PIANEZZA;97;101;10149
VIA PIANEZZA;102;218;10151
VIA PIANEZZA;46;47;10149
CORSO PESCHIERA;138;142;10138
CORSO PESCHIERA;145;145;10141
VIA PESARO;36;50;10152
VIA PESCARA;3;3;10154
VIA BELLOM PESCAROLO;8;16;10134
VIA MATTEO PESCATORE;5;5;10124
VIA GIUSEPPE PEANO;3;3;10129
VIA FEDERICO PATETTA;28;34;10155
STRADA DEL PAVARINO;5;44;10132
VIA PAVAROLO;5;9;10156
VIA CESARE PAVESE;1;7;10135
VIA PIETRO PALMIERI;4;21;10143
VIA PIETRO PALMIERI;22;22;10138
VIA PIETRO PALMIERI;23;23;10143
VIA PIETRO PALMIERI;26;51;10138
VIA NATALE PALLI;23;32;10147
VIA PIANEZZA;59;91;10149
STRADA PIANEZZA;311;387;10151
VIA MATTEO PESCATORE;7;18;10124
VIA DELLE PERVINCHE;55;73;10151
VIA PESARO;4;14;10152
VIA PASTRENGO;3;32;10128
VIA FEDERICO PATETTA;6;26;10155
VIA NATALE PALLI;34;65;10147
VIA LUIGI PALMA DI CESNOLA;9;38;10127
VIA PALLANZA;19;25;10153
STRADA PIANEZZA;389;422;10151
VIA PIANEZZA;2;46;10149
VIA PIACENZA;22;29;10127
VIA PESARO;17;34;10152
VIA DELLE PERVINCHE;23;47;10151
VIA PASSO BUOLE;166;177;10135
VIA PASSO DEL BRENNERO;1;9;10146
VIA MARIO E PIER LUIGI PASSONI;2;18;10146
VIA LUIGI PASTEUR;5;11;10146
VIA PASTRENGO;1;3;10128
CORSO PALESTRO;6;22;10122
VIA ANDREA PALLADIO;3;6;10131
VIA PALLANZA;1;18;10153
VIA PIER LUIGI PALESTRINA;19;28;10155
VIA PIACENZA;30;36;10127
CORSO CARLO PIAGGIA;11;11;10141
VIA PIANCERI;7;19;10146
STRADA PIANEZZA;230;311;10151
VIA AMEDEO PEYRON;48;58;10143
PIAZZA AMEDEO PEYRON;5;5;10143
VIA DELLE PERVINCHE;48;53;10151
VIA PERUGIA;57;64;10152
STRADA DELLA PERUSSIA;6;36;10151
VIA DELLE PERVINCHE;3;9;10151
VIA PASSO BUOLE;57;79;10127
VIA PASSO BUOLE;96;166;10135
LARGO PALERMO;69;73;10152
VIA PIER LUIGI PALESTRINA;1;19;10155
CORSO PALERMO;93;100;10154
PIAZZA AMEDEO PEYRON;5;26;10143
VIA PIACENZA;1;20;10127
VIA PEVERAGNO;12;17;10126
VIA DELLE PERVINCHE;9;23;10151
VIA PUBLIO ELVIO PERTINACE;46;49;10137
VIA PERUGIA;4;29;10152
VIA PASSO BUOLE;5;56;10127
VIA PALLANZA;25;38;10153
VIA GIORGIO PALLAVICINO;21;27;10153
VIA NATALE PALLI;1;22;10147
CORSO PALESTRO;2;6;10122
VIA AMEDEO PEYRON;5;46;10143
VIA ERRICO PETRELLA;40;81;10154
VIA PERUGIA;36;56;10152
VIA ETTORE PERRONE;8;18;10122
VIA PERTENGO;2;19;10155
VIA PUBLIO ELVIO PERTINACE;1;29;10137
PIAZZA ALBERTO PASINI;3;11;10132
VIA PIEMONTESI 1655 PASQUE;4;4;10137
VIA GIUSEPPE LUIGI PASSALACQUA;0;19;10122
VIA PASSO BUOLE;1;5;10127
VIA PIER LUIGI PALESTRINA;29;49;10155
CORSO PALESTRO;2;2;10122
CORSO PALERMO;120;126;10154
VIA ERRICO PETRELLA;85;89;10154
VIA POLICARPO PETROCCHI;4;8;10121
VIA LUIGI PETTINATI;20;20;10126
VIA PETTINENGO;5;15;10149
VIA PEVERAGNO;8;12;10126
VIA FRANCESCO PETRARCA;13;24;10126
VIA PUBLIO ELVIO PERTINACE;29;43;10137
VIA PERRERO;12;37;10139
VIA EDOARDO PERRONCITO;1;10;10146
VIA ETTORE PERRONE;2;2;10122
STRADA DEL PASCOLO;37;40;10156
VIA ROSOLINO PILO;33;33;10143
VIA ROSOLINO PILO;33;33;10145
VIA ROSOLINO PILO;34;34;10143
VIA ROSOLINO PILO;37;37;10145
VIA ROSOLINO PILO;40;40;10143
