COD_CIVICO;COMUNE;VIA;CIVICO;CIRCOSCRIZIONE;CAP;COORDINATA_X;COORDINATA_Y
44988;Torino;CORSO ACHILLE MARIO DOGLIOTTI;14;8;10126;7,676105411;45,0405954
11417;Torino;CORSO ADRIATICO;4/A;2;10129;7,654057684;45,05214909
129283;Torino;CORSO ALBERTO PICCO;18/A;8;10131;7,706928512;45,05987845
55664;Torino;CORSO ALCIDE DE GASPERI;73/C;1;10129;7,656654173;45,05324427
114841;Torino;CORSO ALESSANDRO TASSONI;3/R;4;10143;7,656083472;45,07686693
13109;Torino;CORSO APPIO CLAUDIO;227;4;10146;7,62714043;45,08615904
17970;Torino;CORSO BELGIO;155;7;10153;7,723764298;45,07513537
22691;Torino;CORSO BENEDETTO BRIN;25;5;10149;7,672013061;45,0932693
53030;Torino;CORSO BENEDETTO CROCE;5 scala B;8;10135;7,646652478;45,02234009
88141;Torino;CORSO BERNARDINO TELESIO;3/M;4;10146;7,624006653;45,07534486
21235;Torino;CORSO BOLZANO;2/D;1;10121;7,66440924;45,06837459
22561;Torino;CORSO BRAMANTE;65/G;8;10126;7,67208147;45,04292748
1235;Torino;CORSO BRESCIA;42/D;7;10152;7,691744879;45,08153088
1500;Torino;CORSO BRIANZA;15;7;10153;7,718913836;45,07359427
2990;Torino;CORSO CADORE;23/A;7;10153;7,723572833;45,07525732
3086;Torino;CORSO CADUTI SUL LAVORO;5;8;10126;7,666715505;45,02699182
3184;Torino;CORSO CAIO PLINIO;28/B;8;10127;7,655668271;45,02440358
3339;Torino;CORSO CAIROLI;14;1;10123;7,692447133;45,06115606
12286;Torino;CORSO CANONICO GIUSEPPE ALLAMANO;59 scala D;2;10136;7,624415134;45,05038966
96470;Torino;CORSO CARLO E NELLO ROSSELLI;92;1;10129;7,656727752;45,05311364
55911;Torino;CORSO CARLO LUIGI FARINI;1/D;7;10153;7,703358736;45,0706284
126948;Torino;CORSO CARLO PIAGGIA;11/A;3;10141;7,631490305;45,05803486
6708;Torino;CORSO CASALE;135;7;10132;7,716401009;45,06867726
128978;Torino;CORSO CASTELFIDARDO;5/A;1;10128;7,662975159;45,06768586
40844;Torino;CORSO CESARE CORRENTI;35;2;10136;7,632723847;45,05308008
10203;Torino;CORSO CHIERI;214 int. 12;7;10139;7,746741082;45,05424564
10932;Torino;CORSO CHIETI;12;7;10153;7,715329034;45,07242199
39578;Torino;CORSO CIRIE';1;7;10152;7,674497939;45,08446033
69165;Torino;CORSO CIRO MENOTTI;4/B;3;10138;7,65615992;45,06493123
40802;Torino;CORSO CORSICA;2/B;8;10134;7,652758411;45,03315211
41241;Torino;CORSO COSENZA;70 scala B;2;10137;7,639956209;45,03697722
43219;Torino;CORSO DANTE;42/B;8;10126;7,671159265;45,04767315
135918;Torino;CORSO DUCA D'AOSTA;4 scala A;1;10129;7,666768399;45,06129135
45885;Torino;CORSO DUCA DEGLI ABRUZZI;87;1;10129;7,657223883;45,05418103
130777;Torino;CORSO EMILIA;15/E;7;10152;7,684558657;45,08393205
53304;Torino;CORSO ENRICO DE NICOLA;2;1;10128;7,664274718;45,05033441
