Anno Accertamento;Mese Accertamento;Giorno Accertamento;Tipologia Verbale;Tipo Sanzione;Via 1;Numero Civico;Via 2;Descrizione Sanzione;Descrizione Paragrafo;Descrizione Capitolo;Descrizione Prontuario;Numero Verbali
2017;07;01;POLIZIA MUNICIPALE;Amministrativa;Piazza Carlo Emanuele Ii;0;Via Maria Vittoria;ART. 4 C. 2 IN REL ART. 28 C. 4 PUNTO CIMP MANCATA ESIBIZIONE AUTORIZZAZIONE REGOLAMENTO CANONE INIZIATIVE MEZZI PUBBLICITARI;MANCATA ESIBIZIONE AUTORIZZAZIONE;ATTIVITA' SANZIONATORIA;REGOLAMENTO CANONE INIZIATIVE MEZZI PUBBLICITARI;1
2017;07;01;POLIZIA MUNICIPALE;Amministrativa;Via D. Di Nanni;108;(Altri);ART. 6 C. 2BIS DIVIETO ORE NOTTURNE ATTIVITA' PRODUTTIVE ? L..160/07;DIVIETO ORE NOTTURNE;VENDITA BEVANDE ALCOOLICHE;ATTIVITA' PRODUTTIVE ? L..160/07;1
2017;07;01;POLIZIA MUNICIPALE;Amministrativa;Via G. Rossini;22;(Altri);ART. 6 C. 2BIS DIVIETO ORE NOTTURNE ATTIVITA' PRODUTTIVE ? L..160/07;DIVIETO ORE NOTTURNE;VENDITA BEVANDE ALCOOLICHE;ATTIVITA' PRODUTTIVE ? L..160/07;1
2017;07;01;POLIZIA MUNICIPALE;Amministrativa;Via Matteo Pescatore;18;(Altri);ART. 44 BIS C. 1 C. 2 GENERICO REGOLAMENTO POLIZIA URBANA;GENERICO;TUTELA DELLA CONVIVENZA CIVILE;REGOLAMENTO POLIZIA URBANA;1
2017;07;01;POLIZIA MUNICIPALE;Amministrativa;Via Po;21;(Altri);ART. 44 C. 3 MISURE CONTENITIVE REGOLAMENTO POLIZIA URBANA;MISURE CONTENITIVE;TUTELA TRANQUILLITA' PUBBLICA;REGOLAMENTO POLIZIA URBANA;1
2017;07;01;POLIZIA MUNICIPALE;Tributaria;Via C. Berthollet;9;(Altri);ART. 18 C. 2 EVASIONE DEL CANONE REGOLAMENTO C.O.S.A.P.;EVASIONE DEL CANONE;OCCUPAZ IONE SPAZI ED AREE PUBBLICHE;REGOLAMENTO C.O.S.A.P.;1
2017;07;02;POLIZIA MUNICIPALE;Amministrativa;Via G. Carcano;0;(Altri);ART. 6 C. 1?12 C. 1 ATTIVITA' NON PROFESSIONALI REG. MUNICIPALE 378/17;ATTIVITA' NON PROFESSIONALI;DISPOSIZIONI GENERALI;REG. MUNICIPALE 378/17;3
2017;07;02;POLIZIA MUNICIPALE;Amministrativa;Via Madama Cristina;77;(Altri);ART. 42 C. 1 DISPOSIZIONI GENERALI REGOLAMENTO POLIZIA URBANA;DISPOSIZIONI GENERALI;TUTELA QUIETE PUBBLICA E PRIVATA;REGOLAMENTO POLIZIA URBANA;1
2017;07;02;POLIZIA MUNICIPALE;Amministrativa;Via Matteo Pescatore;18;(Altri);ART. 44 BIS C. 1 C. 2 GENERICO REGOLAMENTO POLIZIA URBANA;GENERICO;TUTELA DELLA CONVIVENZA CIVILE;REGOLAMENTO POLIZIA URBANA;1
2017;07;02;POLIZIA MUNICIPALE;Amministrativa;Via Po;0;(Altri);ART. 22 C. 2 OPERATORI DEL PROPRIO INGEGNO REGOLAMENTO POLIZIA URBANA;OPERATORI DEL PROPRIO INGEGNO;DISP. PART. PER MANIFESTAZIONI VARIE;REGOLAMENTO POLIZIA URBANA;2
2017;07;02;POLIZIA MUNICIPALE;Amministrativa;Via Po;18;(Altri);ART. 22 C. 2 OPERATORI DEL PROPRIO INGEGNO REGOLAMENTO POLIZIA URBANA;OPERATORI DEL PROPRIO INGEGNO;DISP. PART. PER MANIFESTAZIONI VARIE;REGOLAMENTO POLIZIA URBANA;1
